station,datetime_utc,HG,HG2,TW,TW2,TA,VB
JDYA2,2026-06-17 22:15,29.56,30.07,,,,
JDYA2,2026-06-17 22:00,29.58,30.10,33.98,35.60,50.00,14.31
JDYA2,2026-06-17 21:45,29.56,30.10,,,,
JDYA2,2026-06-17 21:30,29.49,30.10,,,,
JDYA2,2026-06-18 16:15,29.33,29.87,,,,
JDYA2,2026-06-18 16:00,29.30,29.88,34.34,37.04,50.72,13.24
JDYA2,2026-06-18 15:45,29.29,29.89,,,,
JDYA2,2026-06-18 15:30,29.31,29.88,,,,
JDYA2,2026-06-18 15:15,29.25,29.88,,,,
JDYA2,2026-06-18 15:00,29.28,29.90,34.16,37.04,47.66,13.20
JDYA2,2026-06-18 14:45,29.37,29.85,,,,
